,BG_CGE_ADARB2_NPY_Inh,BG_CGE_ADARB2_NR2F2_Inh,BG_CGE_ADARB2_VIPR1_Inh,BG_CGE_RELN_LAMP5_Inh,BG_LGE_FOXP2_SLIT2_Inh,BG_LGE_PCP4_DRD1_Inh,BG_LGE_PCP4_DRD2_Inh,BG_LGE_PCP4_EBF1_Inh,BG_LGE_PCP4_IL17REL_Inh,BG_LGE_PCP4_SLC1A3_Inh,BG_MGE_SST_NPY_Inh,BG_MGE_SST_PVALB_Inh,BG_MGE_SST_SATB1_Inh,BG_MGE_SST_SCUBE1_Inh,BG_MGE_SST_ST18_Inh,BG_RELN_LHX8_Inh,BG_SNCG_NRP1_Inh
MM_Lamp5 Egln3,0.0016744299998908262,0.02220952832473618,0.0025136814354030745,0.1060577812405833,0.024705133217670813,0.0012052944543831869,0.010427560732987475,0.007484264063628686,0.0028917238864360237,0.006236786060990798,0.0034422541004785604,0.009065257137985462,0.006565931102689664,0.0005138537742276282,0.0016417611945028648,0.0031939277299759894,0.003760331277649528
MM_Lamp5 Lhx6,0.0012443155909149261,0.017760345989098224,0.0010521424526972552,0.20972599633151728,0.020999427277241613,0.0005012943742441461,0.00300923709213037,0.006161534739613066,0.002042888952642535,0.004718312759051816,0.0071558463732435875,0.01680137320926054,0.018205085929014358,0.0010540920272327395,0.002504295605464944,0.0002419155380877665,0.003499135976702001
MM_Lamp5 Pdlim5,0.00020392041973444735,0.019068679910777885,0.0005418332255787533,0.24208719471051823,0.014374361386847126,0.0002681556859705968,0.005609067422308024,0.008532683424697344,0.0013958061521725774,0.001604573115598571,0.011000924403105194,0.01871246958635831,0.010572655690330971,0.0011542446980732767,0.0048860758250329536,0.001787526948303117,0.004844384212757096
MM_Meis2,5.0542994701784995e-05,0,0,0,0.0661183088941163,0.009741973499822542,0.10327884739552577,0.04336542073428836,0.00984522197218789,0.0017808920172808686,0.0008192187385048209,0.007305280071482681,0.010619670143147446,0,0,0,0.005463863483284326
MM_Meis2 HPF,0.003941190547656972,0.00154047060358898,0.0007885734386442186,0.0010234259349714441,0.02071499281176042,0.014065996280581963,0.04417192777315926,0.055086795277445956,0.036429667775372945,0.01516209347581135,0.0026088361656454676,0.0040661351664217195,0.001219746357131726,0.00011426786831739914,0.00017917969856232874,0.0004073849381190463,0.0022707050147482257
MM_Ntng1 HPF,0.017458767667507712,0.0039305699877347205,0.007691166008037394,0.011700038868252497,0.015005916368849062,0.0013314250665406942,0.0047090740505600975,0.012304093345275128,0.002158433628329221,0.059930899873764695,0.0016994199687947833,0.005300786212288978,0.0048501528043771065,0.0016512133499259167,0.0006668075952738932,0.008340544014327291,0.0032449525124049043
MM_Pax6,0.00033315248536539357,0.013507368621943844,0.003173016528648724,0.31478707176802095,0.015567401575664302,0.0005597274316955156,0.005239220695870537,0.00461291437218804,0.00205588083777201,0.004694204796466048,0.003996344322859324,0.009061116162269307,0.007864410304410761,0.0002038642949591758,0.001703217144743366,0.0012342412349741734,0.004922433398018534
MM_Pvalb Lpl,0.058947025569004705,0.0034631806647870606,0.004172605822142125,0.0002691628964972024,0.007536955157147772,0.00029626794411127615,0.0008058877957290836,0.0018982182176894666,0.00021394508437259677,0.006755438987939562,0.017415220046600767,0.20953075214935532,0.025406484421850978,0.0005504707491385935,0.004820336720648768,0.010219116087982925,0.0025321459794686056
MM_Pvalb Th,0.002643625753052194,0.003557847228939907,0.003558610723009471,0.0005050941217935304,0.009638899717918651,0.00046542368060495723,0.003025838125083022,0.004573575376876726,0.0005467185138348515,0.005923567933279971,0.011354490585753486,0.18168577993658894,0.0592712822046532,0.0001553177355913471,0.002735652173563038,0.006621476875428932,0.0017995385288860567
MM_Pvalb Vipr2,0.04151331504817877,0.009156277244447316,0.002762294793886129,0.008044810458978547,0.014221482192547139,0.00045698386360671945,0.0015563740942714428,0.005381657075905814,0.0005048150794930983,0.012061580435171342,0.011153723487219198,0.118305820369311,0.012498880869708903,0.0014954326877137838,0.003907776229080256,0.0034225200710589774,0.002505961150951142
