,BG_CACNA1H_CCN2_Ex,BG_DACH2_CCN2_Ex,BG_DACH2_GRIA4_Ex,BG_DACH2_GRIK1_Ex,BG_DACH2_MEIS2_Ex,BG_SATB2_KIAA1217_Ex,BG_SATB2_RARB_Ex,BG_SATB2_SATB1_Ex,BG_SATB2_SCUBE1_Ex,BG_SATB2_SOX6_Ex
MM_CA1-ProS,0.10304662928581217,0.0047312296395084,0.0513774184639169,0.0008409549588597679,0.0370535964306413,0.002478062769087106,0.00824621376988039,0.0002066380472493233,0.006046762730748052,0.012356574456804135
MM_CA3,0.17411818221402986,0.015610112727570449,0.032609368403377845,0.001991605351890707,0.033295480442913986,0.005204146480099123,0.0022867201742856162,0.0009747774036796879,0.003151093099633329,0.004030947984330617
MM_CR,0.0019078746190909802,0.00106641242059294,0.05783035441949737,0.0023220534418514813,0.14709108009836971,0.024030923958135827,0.027827930807370643,0.0004112513898939119,0.012039985510161055,0.03314786316685893
MM_CT SUB,0.006407949343030041,0.00031465340476062885,0.03885763749004978,0.0023089249402112356,0.07172673052655675,0.02600681498510001,0.04867673804573573,0.0016055879007811677,0.014973210180265498,0.028588849520784703
MM_Car3,0.002337368917031021,0.04402791745262765,0.03035419419109988,0.004959151474471238,0.007849930425998481,0.015848636243598346,0.0030827114747013604,0.005183174400937596,0.004809297817319073,0.0060696200440797776
MM_DG,0.017528401382334812,0.0007696737680237983,0.04247409661710795,0.0010278254023082093,0.1208784561711153,0.004513162603596592,0.017571373001711455,0.0006452910153412472,0.007317950840658972,0.029730370464745897
MM_IG-FC,0.04181901907197573,0.005608839849932237,0.02308481563596631,0.0010268519833735138,0.021380483082087436,0.002323259524400814,0.009704996386988454,0.0005786314698596952,0.0026638408439209663,0.018966113176427987
MM_L2  IT ENTl,0.012781355568646369,0.03918456768215635,0.07358964804911332,0.007002273388610454,0.01748990691030748,0.010480694815685764,0.012042765646744894,0.006682642437560335,0.0021579856516537963,0.011470145939170732
MM_L2 IT ENTm,0.0038635812525229718,0.028170005637207764,0.05529229843342435,0.012597121107327785,0.011793228075968514,0.01194242481876489,0.0037477370674038396,0.01202421476621168,0.0018962527762075032,0.0030772868906477125
MM_L2/3 IT CTX,0.006717222000681917,0.008839134497386904,0.1374723214256448,0.0015120313963298347,0.014851187203206486,0.005988458976830903,0.014628340472101065,0.0031614399968722937,0.010306083133838902,0.013477187237992886
MM_L2/3 IT ENTl,0.01299992141810315,0.010849105452084827,0.1419166528708652,0.002514066764606286,0.011918822266990613,0.002764463367999484,0.00781975545517791,0.004545639026723815,0.002608525607401167,0.007773002041128728
MM_L2/3 IT PPP,0.004449068681399736,0.0035553841278009334,0.0740495775885349,0.011695941224412832,0.03816820418986117,0.011717900522245892,0.02624444761222658,0.02013993398989998,0.04291781855975486,0.02427162756084967
MM_L2/3 IT RHP,0.08194197144473411,0.006931531508232484,0.03861678172260672,0.00080929205549866,0.03519462620100735,0.006003836494874898,0.006310997365468469,0.0005203975937266159,0.00504969071361849,0.014236519791807265
MM_L3 IT ENT,0.005303849504945597,0.019144432604831247,0.061914018952240045,0.01314148930580632,0.009910199452500155,0.008865492064571188,0.00806700020880838,0.01539746956072024,0.0034942337313664446,0.008362568555729182
MM_L4 RSP-ACA,0.0012998202931729028,0.09513853034634498,0.03036158342051263,0.04059596332645771,0.0023838279856800595,0.02509542025342717,0.0026511904301584482,0.015333625342825669,0.0022679492468984696,0.0006341149760308342
MM_L4/5 IT CTX,0.0009573577231027977,0.06969563211013026,0.040252431073890704,0.01534876886175567,0.01745197570595733,0.0246030882486732,0.01952880573558697,0.0324539534106188,0.007342519462723263,0.019387586801324803
MM_L5 IT CTX,0.0010546519535264566,0.1490177692508037,0.025877826462744863,0.011179846623031637,0.007298875181340069,0.05065076759251064,0.010548238312177723,0.018916339174671518,0.013150058515389598,0.012468799875889709
MM_L5 IT TPE-ENT,0.005537882191182344,0.16992474966211168,0.027374655063055787,0.0036713927525004234,0.005040234900599225,0.045946629048376805,0.0034662167058724146,0.0018189174135138492,0.0034944934357589172,0.00556514355332294
MM_L5 NP CTX,0.0031450251466476676,0.0017678375594661992,0.020904410081634395,0.00451000958447289,0.033500470868664284,0.03332677925053121,0.033699058935617074,0.0018081972141578855,0.016254645011987527,0.057383989483325605
MM_L5 PPP,0.003515572505465495,0.0014756132960282037,0.020234842670322623,0.0038475488490896568,0.035564435488972236,0.0020916209683150026,0.015942676015099213,0.007372646540521938,0.007866185957465606,0.01071461459116877
MM_L5 PT CTX,0.01885211085573972,0.14967791287413904,0.10920087121323689,0.018767177853859562,0.007653206579353404,0.037013714036596014,0.007392482371856086,0.009045885202619447,0.0082146255326748,0.004803033994863893
MM_L6 CT CTX,0.0015387022995561764,0.02223680688991605,0.019014846118402075,0.004101414209467652,0.007017990051078261,0.04120240036847015,0.01703559441653555,0.0019528868381958227,0.00997209268046238,0.02030179543928201
MM_L6 IT CTX,0.004410185666635134,0.08015828751874123,0.051322032178139874,0.0025417229398816675,0.006150961591175259,0.035856106838014455,0.01011081920224218,0.00301213243839185,0.005642573482756316,0.015571669054333284
MM_L6 IT ENTl,0.01992161935307393,0.00034596320603392,0.01772163095287133,0.0002839355275112582,0.024863399814822832,0.0037647010393261405,0.009255850182888778,0.0003839019646056561,0.006624189418718866,0.011092584285261753
MM_L6b CTX,0.0045808120736460945,0.09351477217701074,0.010294172972757285,0.011368919099418553,0.010648047226757095,0.10078447861689685,0.008028912065744652,0.002838382614138804,0.010068984500868768,0.010548189131538072
