,BG_CACNA1H_NRP1_Ex,BG_CACNA1H_SLIT1_Ex,BG_CACNA1H_ZBTB20_Ex,BG_DACH2_BDNF_Ex,BG_DACH2_CCN2_Ex,BG_DACH2_CHD7_Ex,BG_DACH2_GRIK1_Ex,BG_DACH2_LYPD1_Ex,BG_DACH2_MEIS2_Ex,BG_DACH2_NDST4_Ex,BG_DACH2_SV2C_Ex,BG_DACH2_TAC1_Ex,BG_DACH2_ZNF381_Ex,BG_SATB2_BCL6_Ex,BG_SATB2_CCK_Ex,BG_SATB2_FOXP2_Ex,BG_SATB2_GLRA3_Ex,BG_SATB2_KIAA1217_Ex,BG_SATB2_RARB_Ex,BG_SATB2_SCUBE1_Ex,BG_SATB2_TAC1_Ex,BG_SATB2_TFAP2D_Ex,BG_SATB2_ZNF385B_Ex
MM_CA1 Lefty1,0.01544459485951091,0.004539904673233898,0.07681314879650186,0.005059855563316957,0.0028321597974966185,0.0057543842455153845,0.0007615040087957266,0.015063370524637451,0.04998470486045381,0.006601526760840049,0.00238838200776076,0.00018851197181839993,0.015222919541875069,0.0006659610085023186,0.005606795319566061,0.004871560759496803,0.009745594786698312,0.001472702127370658,0.0012184817606930545,0.007730059867120246,5.264053705967928e-05,0.0035498242612907504,0.00015089761237224502
MM_CA1-ProS Dlk1,0.022910460290980414,0.008443360463384288,0.06743480802866793,0.004249417816740188,0.01334690398625192,0.004957795128201555,0.0006528286692486973,0.01746399264928964,0.01882007659903067,0.022321830443373256,0.0008216418174434015,0.00018093033839294465,0.016240286801678917,0.0025730035422632078,0.0033595653056848114,0.0018618254876807377,0.0028006709008654047,0.0011155972865729985,0.00130632348132449,0.002258114810402904,9.128822308764785e-05,0.0028761448070545818,0.00010282133143201784
MM_CA1-do Plekhg1,0.01440685383769141,0.0017344706849599205,0.027642383808444193,0.006656411495518058,0.0020941726102045653,0.01369146619454035,0.0014829612536712427,0.019586468398839867,0.03576416041797138,0.01043265808563641,0.0032718725370583625,0,0.023011810183700278,0.000524789667205943,0.007349832798005056,0.006846990883660959,0.012274397230708783,0.0015403272898027922,0.0028923117369417484,0.009447602458572334,0.000145115551221547,0.004537883485686941,0.0001516118207027638
MM_CA1-ve Gpc3,0.016290036409497246,0.013343141004519892,0.14318335428585663,0.0018579452697559903,0.0006516821640804934,0.001752744839475928,0.00012766258866835767,0.003350593828864351,0.0436454438451093,0.0010822731849953631,0.0005580481354111283,0.00016022242739609447,0.004111978401198953,0.00010671940396604202,0.0042072603518304025,0.0009374639293617084,0.0021976192209887326,0.0019131507506644663,0.0005494559613010256,0.004751273786896732,0.00012857866733188549,0.00342115043789774,7.993414581859378e-05
MM_CA2-IG-FC Ramp3,0.0016392162343520581,0.002333928549026652,0.037845874288597016,0.0019306931983626304,0.005608839849932235,0.006013385658998017,0.0010268519833735138,0.006595305458695343,0.021380483082087436,0.003794997795538884,0.0013563414766205929,0,0.0033940920477508463,0.0002071194051607595,0.008153059804997786,0.0016946951730778756,0.006952072086238298,0.002116140119240054,0.002752924300750155,0.0026638408439209663,0.00047992616216046863,0.009118358198352319,9.870530769922662e-05
MM_CA3-do Iyd,0.0055642150602757245,0.0026534366713764582,0.06994855679445815,0.016717858980893268,0.03847513717961225,0.0014543362890338358,0.0037445322747502426,0.013034255650610085,0.0032455959230055648,0.005088579871789909,0.0013073865860157518,0,0.019374695660359296,0.011238545720265648,0.0009432233112429602,0.0005968942550717176,0.00010317310406401538,0.00043115488532190433,0.0003523208469377408,0.0012809993649134262,4.1023240384565894e-05,0.0007858512770925318,0.0002730035912646352
MM_CA3-ve Fam107a,0.013086216784541771,0.004798856231563698,0.21331258599039807,0.0033029949538699406,0.006690434403631908,0.0034636610770411185,0.0011788358529468295,0.004417966532189084,0.03500552111142423,0.002623802917026969,0.0006127584995876516,0.00023759138150934397,0.008580178848247598,0.00151553326695031,0.003133745059359612,0.0009785286676550543,0.003044993353124422,0.0009563093833592927,0.0005690897282033469,0.0024481149472670573,0.0002184666060848731,0.00214121133640901,0
MM_CR Trp73,0.0006217703249988734,0.0016497376833154286,0,0.02103801285120799,0.00106641242059294,0.01927731706283465,0.002132608948749366,0.0060834025128258615,0.14709108009836971,0.0006541051898107649,0.0016543713116541144,0.00018944449310211492,0.010545895248906218,0.0006605063737631336,0.031924434083742015,0.006580867938822195,0.026888162848327617,0.023563417917634385,0.0016960718089617348,0.012039985510161055,0.0004625982261692384,0.004815514571082249,0.00035990455361858536
MM_CT SUB Rorb,0.0003793222601514074,0.005840782649969901,0.00027940375177303186,0.0019006418661589096,0.00031465340476062885,0.029549230035918823,0.004617849880422471,0.004082204518511201,0.07172673052655676,0.00010256947852598792,0.003725174599906969,0,0.005875750985580911,0.0006930572139015481,0.01220717803406972,0.013432164335438385,0.04611209010522098,0.02585164478721283,0.00408763497240337,0.014973210180265498,0.00048229119567069794,0.005563184804116115,0.0027288846058916376
MM_Car3,0.000548490917502143,0.0016777502193110459,0.00011112778021783247,0.00406477100802463,0.04402791745262765,0.005486086082514016,0.00471106534402697,0.011004875378444304,0.007849930425998481,0.006407892311687277,0.0024238603925800578,0.0003600600650096204,0.0009667090178495992,0.010974842597809063,0.002178081534472306,0.0025324323692017666,0.0031535595695700103,0.004873793645789279,0.0005041340308003181,0.004809297817319073,0.0005427819081711011,0.0018011006152570765,0.004640392492766495
