,TU_DMC,TU_MC,TU_PT,TU_aDC,TU_aDVR,TU_aLC,TU_pDC,TU_pDVR,TU_pLC
MM_CA1-ProS,0.1426458194865724,0.10776981801847793,0.0009282542727941858,0.004446484628874368,0.006127903593677437,0.0009806171725977172,0.061064912023140974,0.007579835418819174,0.008706019696290052
MM_CA3,0.2501114897715058,0.19469600775888365,0.0005209952182258779,0.0008077243426662204,0.0029140564135339713,0.0008836921002193382,0.012516217748732215,0.0014237660167221915,0.0044558160661121084
MM_CR,0.05363218470734778,0.0993777782276457,0.0051458475897678555,0.0006879585502844543,0.01759530485724482,0.0017976126835828551,0.004788755642572077,0.0029627594531602087,0.08578572519212341
MM_CT SUB,0.008569470033674675,0.019078841347904465,0.009751255269725444,0.001088231191520153,0.06275932502970397,0.0030000050891467863,0.006919707364161939,0.00980852545643689,0.12717716124282535
MM_Car3,0.0003375925581408944,0.004581253017717555,0.004379725475698947,0.02562587003677681,0.2173372450402876,0.0011699946228865082,0.0033193712814711097,0.0016881740411194078,0.015665845115849994
MM_DG,0.11441715845609261,0.1303194325010134,0.002282562277086738,0.0004954858463861142,0.011194867005719243,0.0009045439915656052,0.0023751351808018674,0.0028624497065083683,0.034847540247236575
MM_IG-FC,0.07421836880852632,0.08327224450500478,0.0007418842953008347,0.003198484545677087,0.01192073163568079,0.0005756973020783704,0.012215897810550862,0.002192063194829775,0.01534405206057142
MM_L2  IT ENTl,0.001147377917831606,0.005476342122431705,0.008687508336622279,0.035163047901314234,0.020527799123148914,0.11401037273534945,0.007588863283649487,0.0027556766215169207,0.09195434408841209
MM_L2 IT ENTm,0.0016260671682794582,0.0020168724470624884,0.08598156708316732,0.061032950181537704,0.005199299817006868,0.004229561030161354,0.0033680940098871877,0.0009877966301504166,0.01334972920613211
MM_L2/3 IT CTX,0.0011892963490213715,0.004026301785137526,0.003136437172561856,0.023715624912392434,0.0794915314328132,0.040021253030887514,0.0025268012732328963,0.0024331044414341325,0.06914123299451361
MM_L2/3 IT ENTl,0.0010232280660611762,0.003985011946901972,0.029663498138808177,0.03268389253643837,0.03205050565320819,0.07843279121530099,0.004705881348547477,0.003462035594118025,0.07835478025160561
MM_L2/3 IT PPP,0.005601686320061149,0.017464288977462376,0.03081497661447554,0.016487986345847406,0.049026185621329973,0.024768141373626484,0.009693564684935225,0.005581907686421113,0.09447418859666687
MM_L2/3 IT RHP,0.03352662911273401,0.03266967792648846,0.004459600076597131,0.014888639966330525,0.024704144775081274,0.0060979435143521925,0.031985730748879324,0.005899107671862272,0.02942143347937451
MM_L3 IT ENT,0.00206056455438504,0.004756274924345414,0.30645544433528654,0.015972903466841916,0.006735000153328531,0.008192390812062255,0.0031488247130664706,0.002717788082052483,0.025474476550395787
MM_L4 RSP-ACA,0.0012815268937326225,0.002024148917204236,0.1208850171002658,0.03902193942947892,0.04239352151559909,0.0076519170105624895,0.06418083938112958,0.0008959525158383193,0.010338175059950178
MM_L4/5 IT CTX,0.000656266965189974,0.00411919983441109,0.00844377069276774,0.08229251049227278,0.19880221109642365,0.011953086732588398,0.0038436373660870856,0.0018522653256774376,0.03905203940178465
MM_L5 IT CTX,0.0017150782053229386,0.005612997613367827,0.0087374031490327,0.15301517401054582,0.11554793722385322,0.009813473473466377,0.010881069680164892,0.0027040445957185583,0.026261412896871644
MM_L5 IT TPE-ENT,0.004462950266556484,0.012518484787068154,0.0046539977089443425,0.15961379956103022,0.022683570289486345,0.010199676631393262,0.05332811782447681,0.012354362466210283,0.023915746368539274
MM_L5 NP CTX,0.0031069362893957823,0.010632278863411788,0.00983343853450827,0.0011501775058012295,0.06997805389850792,0.0031777057304728873,0.005464377269478215,0.008428149936685305,0.07132710511377671
MM_L5 PPP,0.003854980176316703,0.009106045268053978,0.011666458856201805,0.013340076642328353,0.01738917765110516,0.0010630214773910706,0.02233093139398442,0.015289516160305475,0.033354668886218665
MM_L5 PT CTX,0.02313929164335141,0.01155380556717731,0.19140922546395042,0.09838173538532066,0.016949048748341442,0.027386928649262583,0.24220517891551233,0.03988194042954591,0.028729758394561537
MM_L6 CT CTX,0.0008118855298214192,0.004428725916464928,0.007038368324901659,0.009766423337058,0.07788482063267019,0.00041233661181378433,0.004943429803410605,0.002699399316564403,0.018898776666123544
MM_L6 IT CTX,0.0015759037455179935,0.00575255125477711,0.006706295094672417,0.1256640649157003,0.08511741927729592,0.0029113336491001984,0.006616032466854563,0.001924952731012747,0.02196205118366784
MM_L6 IT ENTl,0.014957084078774992,0.011602235337484095,0.0018501873472497605,0.0012643926026548468,0.024790747285705433,0.001291207153298439,0.005017324370895522,0.005008860174467561,0.018042495113363498
MM_L6b CTX,0.0023157761715708685,0.004184701856046716,0.00688215020388719,0.046244988505144496,0.08160609633682844,0.00116767455545488,0.018403269561100083,0.0070980783741725366,0.02193397386444621
MM_L6b/CT ENT,0.008528014778343482,0.016953963503160648,0.004358585812699824,0.0071794255407995515,0.10583115294328171,0.002965131931319712,0.006400223850526033,0.012749576172115435,0.07038204314553671
MM_NP PPP,0.004815031836284757,0.017258928164493953,0.009824163553034856,0.0012074050350047924,0.04286439014225597,0.0002834095829041781,0.01389516794631776,0.013146379636285854,0.058916404797045276
MM_NP SUB,0.0038438442202147955,0.00975436040904342,0.008019791675818287,0.0005045643032020382,0.022500219114911856,0.003746144525335194,0.01341446898826749,0.013224319484460536,0.041301695354730855
MM_SUB-ProS,0.024862695798781552,0.008193116096456714,0.0014991899745052932,0.014805995548448202,0.01386161072354923,0.004440390524483219,0.15542354800399244,0.03530879640297861,0.01600737475689025
