,TU_DMC,TU_MC,TU_PT,TU_aDC,TU_aDVR,TU_aLC,TU_pDC,TU_pDVR,TU_pLC,MM_CA1 Lefty1,MM_CA1-ProS Dlk1,MM_CA1-do Plekhg1,MM_CA1-ve Gpc3,MM_CA2-IG-FC Ramp3,MM_CA3-do Iyd,MM_CA3-ve Fam107a,MM_CR Trp73,MM_CT SUB Rorb,MM_Car3,MM_DG Prox1 ,MM_IT HATA Id4,MM_L2 IT APr Cdh7,MM_L2 IT ENTl Chn2,MM_L2 IT ENTm Lef1,MM_L2 IT RSP-ACA Npnt,MM_L2 IT RSPv-POST-PRE Pdlim1,MM_L2/3 IT AI Ndst4,MM_L2/3 IT CTX Baz1a,MM_L2/3 IT CTX Stard8,MM_L2/3 IT CTX Trhr,MM_L2/3 IT ENTl Fign,MM_L2/3 IT ENTl Ndst4,MM_L2/3 IT PAR Cfap58,MM_L2/3 IT PAR Wfs1 Prlr,MM_L2/3 IT POST-PRE Kit,MM_L2/3 IT ProS Dcn Cbln4,MM_L3 IT ENTl Fign,MM_L3 IT ENTm Plch1,MM_L4 IT CTX Rspo1,MM_L4 RSP-ACA Scnn1a,MM_L4/5 IT CTX Cux2 Etv1,MM_L5 IT CTX Foxo1,MM_L5 IT RSP-ACA Tshz2,MM_L5 PPP Ptgfr,MM_L5 PT CTX C1ql2,MM_L5 PT CTX Cdh13,MM_L5 PT CTX Chrna6,MM_L5 PT CTX Npnt,MM_L5/6 IT CTX Cdh9,MM_L5/6 IT PFC Chn2,MM_L5/6 IT TPE-ENT Chn2,MM_L5/6 IT TPE-ENT Dcn,MM_L5/6 NP CT CTX Sla2 Col12a1,MM_L5/6 NP CTX Sla2,MM_L6 CT CTX Syt6,MM_L6 CT ENT Rasgrf2 Rmst,MM_L6 IT CTX Fst,MM_L6 IT CTX Osr1,MM_L6 IT ENTl Dlk1,MM_L6b CTX Clic5,MM_L6b CTX Nxph4,MM_L6b CTX Slc17a8,MM_L6b ENT Cplx3 Cobll1,MM_L6b RHP Nxph4 Cobll1,MM_Mossy Rgs12,MM_NP PPP Tmem255b,MM_NP SUB Ly6g6e,MM_ProS Arhgap6,MM_SUB Fn1
TU_DMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14433839173395527,0.1163881224224205,0.09864459542216995,0.21121216836774376,0.07421836880852632,0.16658506676235024,0.26086267661620727,0.05363218470734778,0.008569470033674675,0.0003375925581408944,0.11441715845609261,0.024170195624516146,0.0018435041976730872,0.001147377917831606,0.0016260671682794582,0.0010154298311276426,0.0017473556761203723,0.0006240577816797766,0.00024005473715685752,0.00030275766519656234,0.0030250766447106952,0.0009922897788939898,0.0014533366376097627,0.007865196858242367,0.009407069422402149,0.0021008544640531606,0.04288306260095183,0.0009775584732583547,0.003143570635511727,0.00030259777158832865,0.0012815268937326225,0.0006475974416843319,0.0008884790268271798,0.0014910293193520648,0.003854980176316703,0.014913244409924666,0.004485469183862623,0.007596538545139371,0.007706111934272905,0.0005395621346702182,0.004143435101679341,0.002376481871251045,0.006868933826739071,0.0022126750815798985,0.0018474274910484003,0.0008118855298214192,0.0094699735239978,0.000779730725136953,0.002372076765899034,0.014957084078774992,0.0008183241874994652,0.0011945970161164855,0.004743384970610158,0.0018487772214171884,0.0025067985120573663,0.3228867259359597,0.004815031836284757,0.0038438442202147955,0.038876687297621344,0.010848704299941765
TU_MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12795923462973993,0.03682367745123703,0.22320551061096036,0.0430908493819744,0.08327224450500478,0.29047225752620776,0.14224924535854283,0.0993777782276457,0.019078841347904465,0.004581253017717555,0.1303194325010134,0.015253535548005273,0.012257711702648867,0.005476342122431705,0.0020168724470624884,0.019261062710975295,0.014867138197026133,0.0060880650954719,0.0013823784196285204,0.0034370151889568093,0.007259511746827249,0.0009817719378356934,0.00488519880739832,0.007510898389984364,0.011115173628905134,0.014313574183345343,0.05008582030497165,0.0029563767594625342,0.006556173089228294,0.006015249498008801,0.002024148917204236,0.00222315017081338,0.003360873481840872,0.01251977698005322,0.009106045268053978,0.006245342517038463,0.004901413950040517,0.005353988462561391,0.0014914803242798778,0.0009583423782093855,0.008276587850153628,0.00605509795820514,0.015379579698824666,0.009042937463093545,0.012221620263730033,0.004428725916464928,0.019205730271674847,0.0035864080239386407,0.007918694485615583,0.011602235337484095,0.0030148137838630937,0.0025708740111688748,0.004764400056683076,0.0031003924801999263,0.006388719572471823,0.15136652039190043,0.017258928164493953,0.00975436040904342,0.008842610037363119,0.007543622155550314
TU_PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012535193989604036,0.000895487832161784,0.0005802551731410911,0.000983754686913464,0.0007418842953008347,0.0008189238343111352,0.0006455539312370305,0.0051458475897678555,0.009751255269725444,0.004379725475698947,0.002282562277086738,0.0031520472851806923,0.014144737370948141,0.008687508336622279,0.08598156708316732,0.013029002768282297,0.013108929450104962,0.0024429457967203344,0.0014499370120612642,0.005460556713803731,0.0024988177918205704,0.07750828903758133,0.009039259582122844,0.08907245672349366,0.033565548529373976,0.02196918484465011,0.005767152868013567,0.28751231009150263,0.3253985785790704,0.007480487659497731,0.1208850171002658,0.009407053726037742,0.006480943426497581,0.014844637269998994,0.011666458856201805,0.1567034466589121,0.015051158433290416,0.0375924469075366,0.026900578557847343,0.004886628750601529,0.005322187524653756,0.004762432195870645,0.003877373406308631,0.01061357450451606,0.009053302564500472,0.007038368324901659,0.006561162598170243,0.008490999360586107,0.004921590828758723,0.0018501873472497605,0.005544813204781035,0.0023986520220165087,0.01813745213181999,0.002156009027229403,0.0014476834569312133,2.595564901521595e-05,0.009824163553034856,0.008019791675818287,0.0005016412450681163,0.00249673870394247
TU_aDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004392982886982931,0.008298378838077932,0.0037724238232336024,0.0013221529672030052,0.003198484545677087,0.0014463026884712921,0.0007265993052882489,0.0006879585502844543,0.001088231191520153,0.02562587003677681,0.0004954858463861142,0.022087322985313282,0.0021689437835368266,0.035163047901314234,0.061032950181537704,0.00974205391939963,0.003142425653171876,0.020437262972775146,0.012499225431118048,0.05121303146349845,0.007434617842560778,0.05602000212351255,0.021594412513027454,0.05878112998518402,0.02207417199233942,0.0030191927414526002,0.007689956947347766,0.026756288804245975,0.0051895181294378725,0.015479061921373095,0.03902193942947892,0.14910595906317248,0.23298390081078085,0.057749146777253714,0.013340076642328353,0.06437281133043506,0.06015860067389883,0.02879465109129157,0.09732465219221993,0.16831247444360287,0.24278056300248427,0.13962558714361722,0.09643524853698929,0.0015747757674523847,0.0007255792441500742,0.009766423337058,0.002190426119624179,0.17849473811454492,0.07283339171685584,0.0012643926026548468,0.06797785555891238,0.016330322560880867,0.09546479544557812,0.012530847725827484,0.005206980455206711,8.947359951199722e-05,0.0012074050350047924,0.0005045643032020382,0.011099765122873402,0.018512225974023005
TU_aDVR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006827180859360638,0.007515845599629274,0.00638460393789874,0.003783983977821087,0.01192073163568079,0.0007298700286475295,0.004070361476748064,0.01759530485724482,0.06275932502970397,0.2173372450402876,0.011194867005719243,0.02185720627459991,0.04795660953615077,0.020527799123148914,0.005199299817006868,0.07461417521678501,0.06150122939937269,0.04195679221038047,0.07812535147980079,0.11599355167614471,0.044355691142494276,0.014020563172898006,0.040174161576346096,0.01681498838304511,0.0370467640678042,0.05622334712482217,0.02755108327556268,0.004290648364559399,0.009179351942097663,0.25692213241556905,0.04239352151559909,0.14068228977727834,0.07524065560814765,0.13004722713752812,0.01738917765110516,0.00525522781715212,0.02348433289573538,0.012854725256448585,0.008930591381382543,0.1413559289258842,0.026992349375941443,0.020180687874561412,0.0208776736179562,0.06869964934974755,0.07125645844726837,0.07788482063267019,0.08517869984276613,0.06608332146905349,0.10415151708553827,0.024790747285705433,0.1263663595404207,0.11396833584647237,0.04976946867697231,0.12648360604379727,0.0363202212834485,0.003941937735206316,0.04286439014225597,0.022500219114911856,0.01585362525476358,0.011869596192334884
TU_aLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006544434653370906,0.001691912516429554,0.0005030141659739985,0.0010730985426502262,0.0005756973020783704,0.0004773158969559936,0.0003096641771976268,0.0017976126835828551,0.0030000050891467855,0.0011699946228865082,0.0009045439915656052,0.00398272423844873,0.012009107729253909,0.11401037273534945,0.004229561030161354,0.004565837161132092,0.0025283462806909235,0.07846642272098134,0.08164956358482686,0.01613058241765387,0.022283613090181665,0.08777721558879387,0.0690547353361278,0.027573068396184904,0.007962776962105806,0.009696451878408221,0.008213162790255659,0.015053562494934739,0.001331219129189772,0.003946291727602277,0.0076519170105624895,0.008202031287059647,0.0061846528792330584,0.006020064214606138,0.0010630214773910706,0.010248823774761802,0.005516625351766466,0.024691306307326903,0.00630678014765451,0.0019992032663164057,0.007653703393176963,0.002568520546705452,0.002227018615489136,0.0015293086131053766,0.0033539509724618568,0.00041233661181378433,0.0024264375594718187,0.00391098445243808,0.0019116828457623133,0.001291207153298439,0.0009713695368172088,0.0003825142088977287,0.0007620330845761853,0.0005386943718478928,0.0005415550818555171,0.0005891416238047074,0.0002834095829041781,0.003746144525335194,0.0066957870645872,0.002184993984379238
TU_pDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03768720683799633,0.14966190912789673,0.023071075437292678,0.0338394566893779,0.012215897810550862,0.014917017496340331,0.017020269112994514,0.004788755642572077,0.006919707364161939,0.0033193712814711105,0.0023751351808018674,0.04088720064378421,0.0015178556609303725,0.007588863283649487,0.003368094009887187,0.0046140278930977986,0.003135287428528357,0.005459036884737136,0.001658551739874474,0.00272946403185704,0.003192388047967175,0.0035301071154184584,0.005128500045486838,0.016962457683422177,0.012562905722791829,0.002101840290610664,0.023084260853974456,0.0043525480475649445,0.0019451013785679976,0.0007247968416461536,0.06418083938112958,0.006962477890528017,0.019175398274995405,0.006606299773454163,0.022330931393984416,0.4125191082434891,0.20750268351624984,0.06644555496171,0.28235336894060215,0.006861510992045121,0.06347704262807338,0.054301453611002456,0.042205857234354605,0.004903729888313647,0.006025024650642781,0.004943429803410605,0.005327278335466109,0.008744287800347927,0.0044877771333612,0.005017324370895522,0.014234662982628857,0.0072436764179483375,0.04413200327962056,0.007125334777254898,0.008002735564202544,0.00561136663686178,0.01389516794631776,0.01341446898826749,0.2082991399633345,0.10254795604465028
TU_pDVR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002708534718940698,0.005529840078736734,0.002996401541483577,0.002712630188752537,0.002192063194829775,0.0003124268059548543,0.0008370908044711307,0.0029627594531602087,0.00980852545643689,0.0016881740411194078,0.0028624497065083683,0.007882110807989423,0.004945111936983513,0.0027556766215169207,0.0009877966301504166,0.0029311783767607983,0.007118008282775331,0.0019391340181331043,0.001129821562942658,0.0015916070492331066,0.0014346248633655798,0.0009122623209665045,0.0021706483992341642,0.0022545888352524085,0.0042541159057867765,0.005901083850072279,0.003916104535735128,0.0015568686060891664,0.0038787075580157997,0.002832248291296983,0.0008959525158383193,0.001250273326265894,0.0014277074250638564,0.004050418873206355,0.015289516160305475,0.012502335789824756,0.020676735476381557,0.0024422610494569874,0.005800839217195942,0.0013958247825575463,0.006970392252178393,0.0031432469122079864,0.0050475567570676845,0.007982391804967636,0.008873908068402969,0.002699399316564403,0.010373057960773976,0.001628041496324242,0.0022218639657012517,0.005008860174467561,0.004316930398564661,0.009564447879827744,0.005380392210378908,0.015126094383456887,0.009130543007918832,0.0005653646295745867,0.013146379636285854,0.013224319484460536,0.03195131131372563,0.01853541659209815
TU_pLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012135875308827001,0.0054140983845322125,0.011727618953132238,0.005546486138668756,0.01534405206057142,0.001532048409096306,0.008179462532731557,0.08578572519212341,0.12717716124282538,0.015665845115849994,0.034847540247236575,0.024915534368857704,0.16036222600972333,0.09195434408841209,0.01334972920613211,0.07671193051458425,0.14619588109355403,0.13309161062722494,0.09231311595984618,0.053768669739260845,0.061341913284433947,0.03934422763608942,0.06262850249150258,0.016874552901165497,0.0403774227257289,0.1263231183352448,0.03392733258989135,0.019260952974481414,0.031688000126310165,0.054803897070479834,0.010338175059950178,0.02330018173308948,0.019288020704006717,0.045805833599846135,0.033354668886218665,0.011516821462963395,0.023430005396314735,0.0276372396196436,0.01292618700117612,0.013690384386762075,0.016529259608917872,0.027820741296584184,0.024906661538668485,0.07425658621675799,0.0683976240107954,0.018898776666123544,0.1173657712347191,0.02277841634309636,0.02114568602423931,0.018042495113363498,0.018834219307134206,0.025668464002146552,0.0157763906099607,0.02339831505635422,0.02745682153854337,0.0036559372565084618,0.058916404797045276,0.041301695354730855,0.011568600715406786,0.02044614879837369
MM_CA1 Lefty1,0.14433839173395527,0.12795923462973993,0.0012535193989604036,0.004392982886982931,0.006827180859360638,0.0006544434653370906,0.03768720683799633,0.002708534718940698,0.012135875308827001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
